date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
01/29/2019,"Partner KB Race V. II","12 Min AMRAPAlternating Partners (50/35 KB)5 x Front Squat L5 x Front Squat R10 x KB Swings25ft KB OH Lunge to ConeRun Back",11.015,"11+15","Rounds + Reps","","[{""rnds"":11,""reps"":15}]","W/ Rob Brock",RX,PR
01/31/2019,"Split Stance Good Morning","Split Stance Good Mornings6 x 3 Per LegFeet should be in a jerk balance starting position, which is about half the total distance as a jerk. Record heaviest set",95,"95","Load","","[{""success"":true,""load"":95}]","",RX,PR
01/31/2019,"For Time","21-18-15-12-9-6-3Box Jump Step Down 24/20Wall Balls 20/14",591,"9:51","Time","","[{""secs"":51,""mins"":9}]","Did all the wall balls unbroken",RX,
02/04/2019,"Power Snatch 6x2","Power Snatch for load: #1: 2 reps @ 60% #2: 2 reps @ 70% #3: 2 reps @ 75% #4: 2 reps @ 80% #5: 2 reps @ 85% #6: 2 reps @ 80%",150,"150","Load","Power Snatch","[{""success"":true,""load"":105},{""success"":true,""load"":125},{""success"":true,""load"":130},{""success"":true,""load"":140},{""success"":true,""load"":150},{""success"":true,""load"":140}]","",RX,
02/04/2019,"AMRAP 20","1 DeadLift 405/28510 TTB15 Bar Facing BurpeesDeadlift is meant to be hard but do able",6,"6","Rounds + Reps","","[{""rnds"":6,""reps"":0}]","320#",SCALED,
02/05/2019,"AMRAP 15","Buy In: 4 TGU (AHAP)2 per sideThen AMRAP:5  Push-Ups10 Goblet Squats15 Situps*Must Row 750m at some point in WOD",8.029,"8+29","Rounds + Reps","","[{""rnds"":8,""reps"":29}]","60# TU; 50# gob squat",RX,
02/06/2019,"OTM x 5 x 3","OTM x 53 power Cleans60-65-70-75-80%Rest 1 minOTM x 53 Push Jerks first one from ground60-65-70-75-80%Rest 1 minOTM x 51 Heavy Power Clean & Jerkweight @ athletes choice*score is highest weight for each OTM",615,"615","Load","","[{""success"":true,""load"":195},{""success"":true,""load"":185},{""success"":true,""load"":235}]","",RX,
02/06/2019,"Open 14.1","Complete as many reps as possible in 10 minutes of:• 30 double-unders• 75/55# power snatches, 15 reps",150,"150","Reps","","[{""reps"":150}]","75# snatch; 10 Dubs/rd ",SCALED,PR
02/07/2019,"Back Squat 6x2","Back Squat for load: #1: 2 reps @ 60% #2: 2 reps @ 70% #3: 2 reps @ 75% #4: 2 reps @ 80% #5: 2 reps @ 85% #6: 2 reps @ 80%",285,"285","Load","Back Squat","[{""success"":true,""load"":205},{""success"":true,""load"":215},{""success"":true,""load"":250},{""success"":true,""load"":265},{""success"":true,""load"":285},{""success"":true,""load"":270}]","Felt light",RX,
02/07/2019,":20 / :40 Burpee, Thurster, C2B",":20 on / :40 restx 4 Rounds (12 min total)BurpeesThrusters 75/55C2B",113,"113","Reps","","[{""reps"":113}]","Can’t cycle C2B",RX,PR
02/11/2019,"Snatch 6x2","Snatch for load: #1: 2 reps @ 85% #2: 2 reps @ 90% #3: 2 reps @ 95% #4: 2 reps @ 85% #5: 2 reps @ 90% #6: 2 reps @ 95%Big Warm Up to 85% before set 1",155,"155","Load","Snatch","[{""success"":true,""load"":140},{""success"":true,""load"":150},{""success"":true,""load"":155},{""success"":true,""load"":140},{""success"":true,""load"":150},{""success"":true,""load"":155}]","Lot of warmup before this",RX,
02/11/2019,"Partner WOD - Row + Reverse Burpees","18 min AMRAP:Teams of two complete a 2K Row, then in remaining time while alternating complete RDS:8 Power Snatch 95/556 Double DB Push Press 50/354 Reverse BurpeesVideo: https://youtu.be/T_k8alTpFpY*Reverse Burpees Scaling:1) Use hands to help push yourself up off floor.2) Position yourself close to rig, roll backwards, then as you roll forward to rig grab pole and help guide yourself up hand-over-hand (decrease reps to 2).**If more than 8 teams, some teams may start on AMRAP then row.",9.012,"9+12","Rounds + Reps","","[{""rnds"":9,""reps"":12}]","W/ Beau",RX,PR
02/12/2019,"AMRAP 8","12 Air Squats8 Unbroken V-ups8 HR Push-ups*V-Up RX:  Must maintain hollow position b/w reps.  Legs stay as straight as possible.Video: https://youtu.be/4yt7MdE_ah8**V-Up Scaling:  10 hollow rocks or sit-ups.",7.005,"7+5","Rounds + Reps","","[{""rnds"":7,""reps"":5}]","",RX,
02/13/2019,"3 x 4 Min AMRAPS","4 MIN AMRAP10/7 Bike Cal10 T2B4 MIN Rest4 MIN AMRAP10/7 Row Cal10 DB Floor Press (you pick weight)4 MIN Rest4 MIN AMRAP20 Dubs10 Seated DB Press (you pick weight)*Score = Total RDS + REPS.**May start on different AMRAPs to save space and share equipment.",11.002,"11+2","Rounds + Reps","","[{""rnds"":11,""reps"":2}]","4 +0 Rx, 4 +2 Rx, 3 +0 scaled: 10dubs/rd for practice",SCALED,
02/13/2019,"Clean grip lift off with 3 sec hold at knee","70%-280%-290%-2100%-2105%-2110%-2",280,"280","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":225},{""success"":true,""load"":255},{""success"":true,""load"":265},{""success"":true,""load"":280}]","1 rep = 255; this felt really heavy ",RX,
02/18/2019,"Power Clean & Jerk 5x2","Power Clean & Jerk for load: #1: 2 reps @ 60% #2: 2 reps @ 65% #3: 2 reps @ 70% #4: 2 reps @ 75% #5: 2 reps @ 70%",165,"165","Load","Power Clean & Jerk","[{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":155}]","A couple warmup sets before 135#. Back is tight so didn’t go heavy. ",RX,
02/18/2019,"Open 18.Zero","21-15-9 reps for time of:•Dumbbell snatches•Burpees, jumping over the dumbbellMen: 50-lb. dumbbellWomen: 35-lb. dumbbellScalingUse this workout as a chance to practice for the Open. Each Open workout will offer specific weights and movement standards that allow everyone from teenagers to masters to participate. Pick the option that is appropriate for you. Scaled Option (Ages 16-54)21-15-9 reps for time of:Dumbbell snatchesBurpees, stepping over the dumbbellMen: 35-lb. dumbbellWomen: 20-lb. dumbbellScaled Option (Teenagers 14-15 and Masters 55+)21-15-9 reps for time of:Dumbbell snatchesBurpees, stepping over the dumbbellMen: 20-lb. dumbbellWomen: 10-lb. dumbbell",305,"5:05","Time","","[{""secs"":5,""mins"":5}]","Lungs were on 🔥 after ",RX,PR
02/19/2019,"Handstand Walk: Max Distance","Handstand Walk: Max Distance",1.2,"1.2","Meters","","[{""meters"":1.2000000476837158}]","Never done a handstand walk before, was able to get 4 steps ",SCALED,PR
02/19/2019,"Open 15.4","Complete as many reps as possible in 8 minutes of:• 3 handstand push-ups• 3 cleans• 6 handstand push-ups• 3 cleans• 9 handstand push-ups• 3 cleans• 12 handstand push-ups• 6 cleans• 15 handstand push-ups• 6 cleans• 18 handstand push-ups• 6 cleans• 21 handstand push-ups• 9 cleansetc., adding 3 reps to the handstand push-up each round, and 3 reps to the clean every 3 rounds.Men clean 185 lb.Women clean 125 lb.",30,"30","Reps","","[{""reps"":30}]","135#, taking it easy on my low back - first time ever stringing together kipping HSPUs",SCALED,PR
02/20/2019,"Sumo Deadlift 6x3","Speed Sumo Deadlift w/ Band #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps #6: 3 reps",225,"225","Load","Sumo Deadlift","[{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":225}]","Took it light - nursing the back. ",RX,
02/20/2019,"For Time","With a running clock:3RDS10 Front squats @ 50-60% 1RM- Rest 1 Min. Between Rounds -- Last (3rd) Round, Rest 2 Min.Then:RX:10-9-8-7-6-5-4-3-2-1 reps:Pull-Ups*10 wall balls after each set of Pull-Ups 20/14SCALED:8-7-6-5-4-3-2-1 reps:Pull-Ups*8 wall balls after each set of Pull-UpsTIME CAP: 20 MIN",971,"16:11","Time","","[{""secs"":11,""mins"":16}]","140# FS, all wall balls unbroken",RX,
02/21/2019,"3 Rounds","2 Minutes of Assault Bike for Cal2 Minutes of Kettlebell Swings2 Minutes of Push-Ups2 Minutes of Rowing for Cal2 Minutes of RestScored as 3 Rounds.  Each Round is Total Cal + Swings + Push-ups",447,"447","Reps","","[{""reps"":156},{""reps"":146},{""reps"":145}]","50# KB",RX,
02/21/2019,"Hang Power Snatch 5x2","Hang Power Snatch for load: #1: 2 reps @ 60% #2: 2 reps @ 65% #3: 2 reps @ 70% #4: 2 reps @ 75% #5: 2 reps @ 70%",140,"140","Load","Hang Power Snatch","[{""success"":true,""load"":110},{""success"":true,""load"":120},{""success"":true,""load"":130},{""success"":true,""load"":140},{""success"":true,""load"":130}]","",RX,
02/25/2019,"Open 19.1","Complete as many rounds as possible in 15 minutes of:19 wall-ball shots19-cal. rowRx: Men throw 20-lb. ball to 10-ft. targetWomen throw 14-lb ball to 9-ft. targetScaled: Men throw 14-lb. ball to 10-ft. targetWomen throw 10-lb. ball to 9-ft. targetFor other scaling options: https://games.crossfit.com/workouts/open/2019",286,"286","Reps","","[{""reps"":286}]","",RX,PR
02/26/2019,"Back Squat 1x1","Back Squat for load: #1: 1 rep",305,"305","Load","Back Squat","[{""success"":true,""load"":305}]","Usually do low bar, did high bar up to 275#. Lower back is tight.",RX,
02/28/2019,"Jack(ish)","AMRAP 1010 FS 115/7510 KBS 50/3510 BJ 24/20",156,"156","Reps","","[{""reps"":156}]","",RX,PR
02/28/2019,"Deadlift 1x1","Deadlift for load: #1: 1 rep",345,"345","Load","Deadlift","[{""success"":true,""load"":345}]","",RX,
03/05/2019,"Shoulder Press 5x5","Shoulder Press for load: #1: 5 reps @ 40% #2: 5 reps @ 50% #3: 5 reps @ 60% #4: 5 reps @ 70% #5: 5 reps @ 70%",135,"135","Load","Shoulder Press","[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":135}]","",RX,
03/05/2019,"For Time","15-12-9-6-3Bent over row 115/75FSHSPU",865,"14:25","Time","","[{""secs"":25,""mins"":14}]","95#, HSPU: hands on floor, ab mat on 25# plate. Went lighter because I’m working on building endurance for Festivus. HSPUs really slowed me down.",SCALED,
03/06/2019,"Snatch 5x5","Snatch from Power Position #1: 5 reps @ 40% #2: 5 reps @ 50% #3: 5 reps @ 60% #4: 5 reps @ 65% #5: 5 reps @ 65%",135,"135","Load","Snatch","[{""success"":true,""load"":65},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135}]","",RX,
03/06/2019,"For Reps","3:00 Hand-to-Hand KB Swings(Russian) 50/353:00 Rest2:00 Overhead Plate Lunges 45/252:00 Rest1:00 Russian Twist  50/351:00 Rest2:00  1 arm KB Push-press 50/352:00 Rest3:00 Row or Bike Calories",322,"322","Reps","","[{""reps"":322}]","35#; training for Festivus104-52-34-67-65",SCALED,
03/07/2019,"Front Squat 5x5","Front Squat for load: #1: 5 reps @ 50% #2: 5 reps @ 60% #3: 5 reps @ 65% #4: 5 reps @ 70% #5: 5 reps @ 70%",205,"205","Load","Front Squat","[{""success"":true,""load"":135},{""success"":true,""load"":170},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":205}]","",RX,
03/07/2019,"Every 4:00 x 3","15 Power Snach15 Burpees over Bar15 Wall balls 20/14Round 1 95/65Round 2 115/85Round 3 135/95Complete the work in each round as quickly as possible.  3 Separate scoresOne time through each round, rest remainder of 4:00.  Any rep not completed becomes an additional second added onto that round.",152,"2:32","Time","","[{""secs"":32,""mins"":2},{""secs"":21,""mins"":3},{""secs"":12,""mins"":4}]","75-95-105",SCALED,
03/11/2019,"Open 19.3","For Time:• 200-ft. dumbbell overhead walking lunge • 50 dumbbell box step-ups• 50 strict handstand push-ups • 200-ft handstand walk M 50-lb. dumbbell / 24-in. boxW 35-lb. dumbbell / 20-in. boxTime cap: 10 minutes Movement Standards: https://games.crossfit.com/workouts/open/2019/3#movementStandardsScorecard: https://games-assets.crossfit.com/2019-sdfoiwwe09835.pdf",98,"98","Reps","","[{""reps"":98}]","8 HSPUs",RX,PR
03/12/2019,"For Time","Row 1000m @ some point in the WOD5 Rounds (15 min cap)10 T2B15 S2OH 75/5510 Burpees15 BJ 30/24",900,"15:00","Time","","[{""secs"":0,""mins"":15}]","3rds + 36 in 15:00. Finished out the WOD, but the clock stopped at 15. Probably took another 10 minutes to complete. Rowed last.",RX,
03/13/2019,"Back Squat 7x5","Back Squat for load: #1: 5 reps @ 40% #2: 5 reps @ 50% #3: 5 reps @ 60% #4: 5 reps @ 70% #5: 5 reps @ 75% #6: 5 reps @ 75% #7: 5 reps @ 70%",240,"240","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":225},{""success"":true,""load"":240},{""success"":true,""load"":240},{""success"":true,""load"":225}]","Felt good",RX,
03/13/2019,"AMRAP 12","12 min AMRAP:Ascending Ladder: 3-6-9-12-15-18-21…-AirBike or Row Cals-Power Clean (95/65)-Thruster (95/65)----------------------3 RD = 27 Reps (9s)4 RD = 36 Reps (12s)5 RD = 45 Reps (15s)6 RD = 54 Reps (18s)7 RD = 63 Reps (21s)8 RD = 72 Reps (24s)9 RD = 81 Reps (27s)10 RD = 90 Reps (30s)",163,"163","Reps","","[{""reps"":163}]","75#, right shoulder is strained",SCALED,
03/18/2019,"Open 19.4","For total time:3 rounds of:  10 snatches  12 bar-facing burpeesThen, rest 3 minutes before continuing with:3 rounds of:  10 bar muscle-ups  12 bar-facing burpeesMen snatch 95 lb.Women snatch 65 lb.Time cap: 12 minutesMovement Standards:https://games.crossfit.com/workouts/open/2019/4#movementStandardsScorecard:https://games-assets.crossfit.com/19-4-asodifwehfwo948.pdf",132,"132","Reps","","[{""reps"":132}]","11:44; 65#, 5 strict pull-ups. Nursing a sore shoulder. ",SCALED,PR
03/19/2019,"EMOM 12","EMOM 125 Thrusters 75/55thenMax Dubs*Score is total double undersfor scaled divide singles in 1/2",81,"81","Reps","","[{""reps"":81}]","",RX,
03/25/2019,"Open 19.5","33-27-21-15-9 reps for time of:• Thrusters• Chest-to-bar pull-upsMen use 95 lb.Women use 65 lb.Time cap: 20 minutes Movement Standards:https://games.crossfit.com/workouts/open/2019/5#movementStandardsScorecard:https://games-assets.crossfit.com/Open-19-5-sdofiw0vnGT.pdf",1175,"19:35","Time","","[{""secs"":35,""mins"":19}]","75#; 5 kipping pull-ups to start each round, finished with ring rows. Did the last 9 pull-ups. ",SCALED,PR
03/26/2019,"Bench Press 5x5 @ 75%","Bench Press for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",235,"235","Load","Bench Press","[{""success"":true,""load"":235},{""success"":true,""load"":235},{""success"":true,""load"":235},{""success"":true,""load"":235},{""success"":true,""load"":235}]","Felt good",RX,
03/26/2019,"AMRAP 5+5","AMRAP 5Buy In: 500m Row5 Box Jumps 24/205 DipsRest 3AMRAP 510 Floor Press 115/7525 Dubs*Score is combined Rounds & Reps from both 5 mins",13.031,"13+31","Rounds + Reps","","[{""rnds"":13,""reps"":31}]","Box dips, 50 singles",SCALED,
03/27/2019,"Deadlift 5x5 @ 75%","Deadlift for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",225,"225","Load","Deadlift","[{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225},{""success"":true,""load"":225}]","75% is ~258",SCALED,
03/27/2019,"For Time","3 Rounds15 HSPU15 SDHP15 Situps",351,"5:51","Time","","[{""secs"":51,""mins"":5}]","75# SDHP, 35# seated DB press",SCALED,
03/28/2019,"Mini Chief AMRAP","3 Minutes3 x Power Cleans 135/856 x Push-Ups 9 x SquatsRest 1 minute 3 Minutes3 x Power Cleans 135/856 x Push-Ups9 x SquatsRest 1 Minute3 Minutes3 x Power Cleans 135/856 x Push-Ups9 x Squats11 Minutes Total Rounds + Reps",10.01,"10+10","Rounds + Reps","","[{""rnds"":10,""reps"":10}]","Hand release PU",RX,PR
04/01/2019,"Granite Games Qualifier 18.2","12MIN TIME CAP- RX -20, 18, 16, 14, 12, 10, 8, 6, 4, 2 Wall Ball Shots (20/14)10, 9, 8, 7, 6, 5, 4, 3, 2, 1 Toes to Bar- Intermediate - 20, 18, 16, 14, 12, 10, 8, 6, 4, 2 Wall Ball Shots (20/14)10, 9, 8, 7, 6, 5, 4, 3, 2, 1 Hanging Knee Raises- Scaled - 20, 18, 16, 14, 12, 10, 8, 6, 4, 2 Wall Ball Shots (14 to 10ft/10 to 9ft)10, 9, 8, 7, 6, 5, 4, 3, 2, 1 Hanging Knee Raises*If appropriate, note in comments ""RX"", ""Intermediate"", or ""Scaled"".",548,"9:08","Time","","[{""secs"":8,""mins"":9}]","Ripped real good",RX,PR
04/02/2019,"Snatch 5x1","3 position Snatch 1 From ea. position top down #1: 1 rep @ 50% #2: 1 rep @ 60% #3: 1 rep @ 70% #4: 1 rep @ 75% #5: 1 rep @ 70%",65,"65","Load","Snatch","[{""success"":true,""load"":65},{""success"":true,""load"":65},{""success"":true,""load"":65},{""success"":true,""load"":65},{""success"":true,""load"":65}]","",SCALED,
04/02/2019,"Helen","3 rounds for time of:• 400m run• 21 Kettlebell Swings 1.5/1 pood • 12 Pull-ups",720,"12:00","Time","","[{""secs"":0,""mins"":12}]","",RX,PR
04/03/2019,"The Ghost","6 rounds of:1 minute of rowing1 minute of burpees1 minute of double-unders1 minute restTry for as many reps as possible of EACH exercise, not just total score. Post separate totals of calories rowed, burpee reps and double-under reps completed to your notes.",853,"853","Reps","","[{""reps"":853}]","SinglesRow: 23-21-20-20-20-20Burps: 16-10-11-11-11-12SU: 121-114-104-101-103-115",SCALED,
04/04/2019,"For Time w/ Partner","3RDS4 Rope Climbs*16 Power Cleans 135/8516 Front Squats 135/8532 Sit-ups*GH Sub 16 Bent Over Rows for Rope ClimbsRX+ 155/105TIME CAP 12:00",506,"8:26","Time","","[{""secs"":26,""mins"":8}]","95#, w Justin. Should’ve gone a little heavier. ",SCALED,
04/08/2019,"For Time","For Time:- RX -40 Calorie Bike50 Deadlifts (135/95 lbs)40 Wall Ball Shots (20/14)50 DB Lunges (50/35 ea arm)40 Wall Ball Shots50 Deadlifts40 Calorie Row- Scaled RX -30 Calorie Bike40 Deadlifts (95/65 lbs)30 Wall Ball Shots (14/10)40 DB Lunges (35/25 ea arm)30 Wall Ball Shots40 Deadlifts30 Calorie Row- Masters RX -30 Calorie Bike40 KB Deadlifts30 Wall Ball Shots40 Lunges (bodyweight)30 Wall Ball Shots40 KB Deadlifts30 Calorie Row22 MIN CAP*RX button may be pushed if you completed the WOD as written for your division.",1180,"19:40","Time","","[{""secs"":40,""mins"":19}]","Rx everything except 95# deadlifts ",SCALED,
04/09/2019,"Clean & Jerk 7x3","Clean & Jerk for load: #1: 3 reps @ 50% #2: 3 reps @ 60% #3: 3 reps @ 70% #4: 3 reps @ 75% #5: 3 reps @ 80% #6: 3 reps @ 85% #7: 3 reps @ 85%",165,"165","Load","Clean & Jerk","[{""success"":true,""load"":100},{""success"":true,""load"":120},{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":165}]","",RX,
04/09/2019,"Rogue Invitational 2019 WOD 2","AMRAP 99 Front Squat (135/95)7 Bar Facing Burpee5 Shoulder to OH (135/95)",5.003,"5+3","Rounds + Reps","","[{""rnds"":5,""reps"":3}]","95#",SCALED,
